medianIncome_neighborhood,crimeData_neighborhood,median_income,population
North Admiral,ALASKA JUNCTION,95183,13710
Alki,ALKI,101227,5015
Ballard,BALLARD NORTH,93255,48115
Ballard,BALLARD SOUTH,93255,48115
Belltown (Denny Triangle),BELLTOWN,82054,9685
Bitter Lake,BITTERLAKE,51726,10471
Brighton,BRIGHTON/DUNLAP,54365.5,9765
Capitol Hill,CAPITOL HILL,100145,45253
Central Area,CENTRAL AREA/SQUIRE PARK,96733,48559
Chinatown,CHINATOWN/INTERNATIONAL DISTRICT,34586,4601
Columbia City,CLAREMONT/RAINIER VISTA,61771,13201
Columbia City,COLUMBIA CITY,61771,13201
Duwamish,COMMERCIAL DUWAMISH,54037,1785
Harbor Island,COMMERCIAL HARBOR ISLAND,71758,231
Downtown,DOWNTOWN COMMERCIAL,60727,34753
Eastlake,EASTLAKE - EAST,85974,2864
Eastlake,EASTLAKE - WEST,85974,2864
Fauntleroy,FAUNTLEROY SW,96276,4318
First Hill,FIRST HILL,50155,9328
Fremont,FREMONT,82855,14281
Genesee,GENESEE,83940,8342
Georgetown,GEORGETOWN,61161,1612
Greenwood,GREENWOOD,85155,22286
High Point,HIGH POINT,77421,8374
Highland Park,HIGHLAND PARK,54037,7967
Brighton,HILLMAN CITY,59838,9765
Atlantic,JUDKINS PARK/NORTH BEACON HILL,55019,11055
Lake City,LAKECITY,85055,32296
Seward Park,LAKEWOOD/SEWARD PARK,91682,6228
Madison Park,MADISON PARK,157037,4372
Leschi,MADRONA/LESCHI,133171,8343
Magnolia,MAGNOLIA,108518,17590
Mid Beacon Hill,MID BEACON HILL,66461,694
Stevens,MILLER PARK,110895,13699
Montlake,MONTLAKE/PORTAGE BAY,109077.5,5581
Seaview,MORGAN,93162,5867
Mount Baker,MOUNT BAKER,91830,11031
Brighton,NEW HOLLY,59838,9765
North Admiral,NORTH ADMIRAL,95183,13710
North Beacon Hill,NORTH BEACON HILL,54056,13602
North Delridge,NORTH DELRIDGE,74591,4889
Northgate,NORTHGATE,72154,39714
Phinney Ridge,PHINNEY RIDGE,95706,12831
North Delridge,PIGEON POINT,74591,4889
SoDo,PIONEER SQUARE,55632,1743
Queen Anne,QUEEN ANNE,97017,43442
Ranier Beach,RAINIER BEACH,62141,5506
Riverview,RAINIER VIEW,69872,2553
Ravenna,ROOSEVELT/RAVENNA,101347.5,17444
Arbor Heights,ROXHILL/WESTWOOD/ARBOR HEIGHTS,88976.66667,10313
Sand Point,SANDPOINT,133897,702
Cascade,SLU/CASCADE,90537.5,13920
SoDo,SODO,55632,1743
South Beacon Hill,SOUTH BEACON HILL,64869,5619
South Delridge,SOUTH DELRIDGE,69028,3348
South Park,SOUTH PARK,44529,4215
University District (U District),UNIVERSITY,51302,26886
Wallingford,WALLINGFORD,87652,20419
